model,P_SUM,U_L1_N,I_SUM,H_TDH_I_L3_N,F,ReacEc_L1,C_phi_L3,ReacEc_L3,RealE_SUM,H_TDH_U_L2_N
BiLSTM_64_20_15secs,0.082456,0.037765,0.079926,0.052387,0.042009,0.040149,0.063424,0.111440,0.291016,0.034784
AttentionBiLSTM_64_20_15secs,0.070771,0.051084,0.069729,0.049208,0.040874,0.034835,0.056808,0.097450,0.241490,0.031614
BiGRU_64_20_15secs,0.083130,0.034608,0.085626,0.053406,0.043334,0.031929,0.069542,0.122358,0.285782,0.031665
BiLSTM_64_30_15secs,0.096677,0.040161,0.086874,0.052122,0.041979,0.043237,0.065091,0.131208,0.267677,0.035266
AttentionBiLSTM_64_30_15secs,0.081291,0.047406,0.075562,0.049302,0.040893,0.035292,0.056663,0.076455,0.250282,0.031620
BiGRU_64_30_15secs,0.095766,0.037760,0.088906,0.055329,0.043715,0.042187,0.070509,0.156068,0.311114,0.031503
BiLSTM_64_40_15secs,0.085769,0.042760,0.094959,0.049801,0.042551,0.042590,0.071130,0.151959,0.268670,0.031419
AttentionBiLSTM_64_40_15secs,0.072950,0.049207,0.074151,0.048520,0.040798,0.035953,0.056445,0.144220,0.261750,0.031642
BiGRU_64_40_15secs,0.095315,0.039110,0.088964,0.053699,0.041376,0.042838,0.075670,0.174253,0.238015,0.031825
BiLSTM_64_50_15secs,0.092313,0.049643,0.083243,0.055776,0.040659,0.042503,0.078726,0.186877,0.312801,0.031441
AttentionBiLSTM_64_50_15secs,0.072091,0.053527,0.072011,0.048637,0.040927,0.039013,0.059599,0.160643,0.273126,0.031567
BiGRU_64_50_15secs,0.092528,0.042253,0.081429,0.065854,0.042424,0.041537,0.075999,0.184306,0.347460,0.031558
BiLSTM_128_10_15secs,0.080847,0.035815,0.075415,0.049643,0.044205,0.038124,0.069593,0.063945,0.240765,0.037611
AttentionBiLSTM_128_10_15secs,0.092348,0.053349,0.071466,0.048840,0.041244,0.035134,0.058783,0.074411,0.983329,0.031503
BiGRU_128_10_15secs,0.081406,0.032914,0.075627,0.056836,0.045829,0.024122,0.072980,0.119703,0.256548,0.031959
BiLSTM_128_20_15secs,0.089879,0.034059,0.075694,0.049173,0.045511,0.027755,0.069896,0.109762,0.265923,0.041390
AttentionBiLSTM_128_20_15secs,0.094481,0.056006,0.074843,0.049071,0.040942,0.034828,0.057516,0.078119,0.983329,0.031288
BiGRU_128_20_15secs,0.091121,0.038297,0.080151,0.057277,0.048446,0.035555,0.075574,0.140126,0.263297,0.034349
BiLSTM_128_30_15secs,0.080296,0.034606,0.078260,0.048868,0.044624,0.030219,0.070054,0.115968,0.315064,0.041052
AttentionBiLSTM_128_30_15secs,0.095450,0.052029,0.068258,0.049147,0.041415,0.034626,0.057293,0.077881,0.983329,0.031210
BiGRU_128_30_15secs,0.082858,0.042704,0.098324,0.058964,0.048161,0.040834,0.073493,0.142822,0.332002,0.033656
