model,P_SUM,U_L1_N,I_SUM,H_TDH_I_L3_N,F,ReacEc_L1,C_phi_L3,ReacEc_L3,RealE_SUM,H_TDH_U_L2_N
BiLSTM8_Dropout10_15secs,0.046211,0.067696,0.082817,0.083030,0.054077,0.280242,0.122386,0.729086,0.082201,0.049977
AttentionBiLSTM8_Dropout10_15secs,0.025477,0.053751,0.081046,0.068870,0.054547,0.301219,0.111660,0.628968,0.235538,0.043170
BiLSTM8_Dropout20_15secs,0.034395,0.071340,0.084272,0.117776,0.054232,0.292459,0.118539,0.850863,0.112142,0.047388
AttentionBiLSTM8_Dropout20_15secs,0.022756,0.054076,0.081059,0.080949,0.054709,0.299581,0.111202,0.662168,0.249187,0.042564
BiLSTM8_Dropout30_15secs,0.079255,0.082269,0.083724,0.085224,0.054344,0.294994,0.110244,0.882705,0.127821,0.048042
AttentionBiLSTM8_Dropout30_15secs,0.020623,0.054467,0.081091,0.106485,0.054958,0.289824,0.112733,0.690866,0.284392,0.042900
BiLSTM8_Dropout40_15secs,0.049975,0.076258,0.083705,0.097772,0.054718,0.298189,0.111070,0.886279,0.084553,0.045628
AttentionBiLSTM8_Dropout40_15secs,0.019837,0.057585,0.081132,0.132343,0.054805,0.283080,0.115663,0.727024,0.295952,0.043195
BiLSTM8_Dropout50_15secs,0.090125,0.082985,0.099642,0.136150,0.054856,0.311234,0.112129,0.883364,0.120931,0.089203
AttentionBiLSTM8_Dropout50_15secs,0.018481,0.059226,0.080754,0.231562,0.055569,0.279899,0.118430,0.760117,0.312554,0.044851
BiLSTM16_Dropout10_15secs,0.022622,0.059062,0.082574,0.087570,0.054232,0.266615,0.115004,0.586531,0.100114,0.054943
AttentionBiLSTM16_Dropout10_15secs,0.027359,0.059888,0.081545,0.074917,0.054450,0.321292,0.119410,0.577074,0.235994,0.043771
BiLSTM16_Dropout20_15secs,0.039979,0.063865,0.084238,0.088920,0.054319,0.286855,0.127919,0.843239,0.133639,0.045802
AttentionBiLSTM16_Dropout20_15secs,0.026265,0.055033,0.081428,0.071025,0.054300,0.325613,0.109890,0.602093,0.228913,0.043423
BiLSTM16_Dropout30_15secs,0.034374,0.065226,0.084889,0.090157,0.054488,0.295336,0.128364,0.879124,0.117323,0.045703
AttentionBiLSTM16_Dropout30_15secs,0.021975,0.057475,0.081364,0.070440,0.054848,0.334318,0.108674,0.625357,0.233096,0.042865
BiLSTM16_Dropout40_15secs,0.039246,0.065684,0.084614,0.082577,0.054143,0.299121,0.119758,0.878458,0.096593,0.045732
AttentionBiLSTM16_Dropout40_15secs,0.021571,0.055316,0.081449,0.084217,0.054569,0.340064,0.109478,0.649052,0.249840,0.043223
BiLSTM16_Dropout50_15secs,0.074106,0.072732,0.085205,0.162796,0.054422,0.304192,0.119303,0.883872,0.148793,0.047225
AttentionBiLSTM16_Dropout50_15secs,0.025452,0.057405,0.081233,0.110262,0.054302,0.344907,0.120241,0.680906,0.272736,0.043573
